edges,time
1000,38.0
4000,47.0
7000,50.0
10000,57.0
13000,58.0
16000,71.0
19000,66.0
22000,76.0
25000,84.0
28000,71.0
31000,81.0
34000,91.0
37000,90.0
40000,100.0
43000,96.0
46000,105.0
49000,101.0
52000,126.0
55000,115.0
58000,120.0
61000,134.0
64000,148.0
67000,148.0
70000,153.0
73000,150.0
76000,151.0
79000,176.0
82000,163.0
85000,175.0
88000,182.0
91000,173.0
94000,196.0
97000,195.0
100000,200.0
