edges,time
5000,828.0
10000,945.0
15000,954.0
20000,993.0
25000,967.0
30000,1148.0
35000,1037.0
40000,1031.0
45000,1070.0
50000,1150.0
55000,1160.0
60000,1333.0
65000,1318.0
70000,1352.0
75000,1335.0
80000,1403.0
85000,1419.0
90000,1309.0
95000,1410.0
100000,1256.0
105000,1483.0
110000,1564.0
115000,1548.0
120000,1724.0
125000,1649.0
130000,1688.0
135000,1712.0
140000,1741.0
145000,1454.0
150000,1540.0
155000,1838.0
160000,1735.0
165000,1908.0
170000,2083.0
175000,2019.0
180000,2006.0
185000,1955.0
190000,1996.0
195000,1903.0
200000,2260.0
