edges,time
5000,1573.0
10000,2409.0
15000,2839.0
20000,3618.0
25000,3836.0
30000,4166.0
35000,4198.0
40000,4050.0
45000,3487.0
50000,4720.0
55000,4065.0
60000,4863.0
65000,4595.0
70000,4324.0
75000,4722.0
80000,4547.0
85000,4874.0
90000,5355.0
95000,4179.0
100000,5504.0
